dir,Fesc,Fesc900,vector_x,vector_y,vector_z
60.0,0.005688,0.004231,0.8459051693633013,0.0,0.5333333333333333
220.0,0.015299,0.010052,0.8459051693633013,0.0,-0.5333333333333333
243.0,0.047316,0.010035,0.33838453951890907,0.6641170521603337,-0.6666666666666666
283.0,0.089026,0.068496,-0.33585711247493344,-0.3358571124749331,-0.88
56.0,0.11227,0.093693,0.33838453951890896,-0.6641170521603338,0.6666666666666666
221.0,0.13736,0.043801,0.8045036234907231,0.2613990729628782,-0.5333333333333333
102.0,0.20434,0.11972,0.7797215340881698,0.566500854516637,0.26666666666666666
290.0,0.24899,0.21119,-0.12330617350934263,0.2976874364105851,-0.9466666666666667
288.0,0.29941,0.27174,0.2976874364105851,0.12330617350934266,-0.9466666666666667
19.0,0.344,0.30743,-0.33585711247493344,-0.3358571124749331,0.88
142.0,0.4176,0.39933,0.8090169943749475,0.5877852522924731,0.0
